name,latitude_deg,longitude_deg
Richards Field,25.55870056,-80.51509857
Tampa General Hospital Brandon Healthplex Heliport,27.929372,-82.336981
Cross Creek Farms Airport,29.240353,-81.222525
Columbus Southwest Airport,39.91120148,-83.188797
Middlekoop Airport,41.0882988,-92.05460358
Lanham Field,43.877015,-116.538365
Turkey Run Airport,41.1306,-84.994102
Schertz Aerial Service - Hudson Airport,40.63750076,-89.00700378
Lake Gage Seaplane Base,41.701389,-85.113056
Van Gorder Airport,40.17860031,-88.56900024
Robinson Industries Heliport,38.978901,-95.219704
Natchez Trace Farm Airport,37.13510132,-85.78939819
Saint James Parish Hospital Heliport,30.051001,-90.703848
Brunner Airport,42.13610077,-88.28759766
La National Guard Heliport,30.44610023,-91.1053009
Goddard Field,42.810908,-71.140959
Chesapeake City Heliport,39.51810074,-75.8214035
Beech Hill Airport,44.66669846,-69.89389801
Rapids Airway Airport,42.53450012,-84.62830353
Helblad Airport,47.9858017,-94.68689728
Airpark Private Airport,39.301201,-91.4515
Nick's Flying Service Inc Airport,32.940537,-90.836683
Pluhar Airport,47.13749778,-106.488095
Western Wake Medical Center Heliport,35.73920059,-78.78220367
Mc Connell Field Airport,41.15999985,-101.2990036
Emmanuel Airport,39.59680176,-75.23349762
McGee 04 Heliport,34.775671,-77.392244
Kingston Ranch Airport,35.75550079,-115.6650009
Klaverack Airport,42.26229858,-73.69619751
Teufel Heliport,45.530833,-123.085556
Bossow Airport,41.2477,-81.100701
Stillwater Medical Center Heliport,36.11529922,-97.07949829
Collins Landing Strip,44.74990082,-120.2009964
S & C Distribution Center Heliport,39.87929916,-75.22879791
Strawbridge & Clothier Exton Heliport,40.0306619,-75.63021
Emergency Helipad,34.842188,-82.60714
Cheyenne River Health Center Heliport,44.993124,-101.243011
Capitol National Bank Building Heliport,30.270262,-97.745275
Veterans Affairs Medical Center Heliport,29.699687,-95.39069
Hensley Airpark,36.18330002,-82.67890167
Hummingbird Heliport,30.553284,-97.605358
4D Ranch Airport,29.713072,-99.545642
Pocock Airport,31.732779,-97.369326
Navajo Mountain Airport,37.006689,-110.794701
Saguache Municipal Airport,38.0990833,-106.1743889
Russell County Medical Center Heliport,36.898,-82.078
Manquin Flight Park Ultralightport,37.706546,-77.201621
Lightning Bolt Field Airport,44.40110016,-72.26360321
Field of Dreams Airport,46.0228,-92.895401
Ox Meadows Airport,47.581795,-117.437131
Dutch Gap Airstrip,42.52339935,-88.01670074
Stillwater Creek Airport,46.95835,-119.63864
West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,39.65361111,-79.95611111
Pecan Field,33.283933,-98.402861
Schmidts Heliport,32.5821,-97.142502
Wasilla Creek Airpark,61.66830063,-149.1880035
Allen Stagefield Army Heliport,31.23119926,-85.64969635
Ozark Skies Airpark,36.000633,-93.57025
Yuma Regional Medical Center Heliport,32.683452,-114.634346
Van Buren Seaplane Base,47.158901,-67.931999
Lost Hills Sheriff's Station Heliport,34.136516,-118.714685
Pope Valley Airport,38.6106987,-122.3909988
Rancho de Aereo Airport,40.214984,-104.984423
O And G Heliport,41.77370071,-73.11620331
Melanie's Airport,30.91889954,-86.21829987
Aventura Heliport,25.96089935,-80.1391983
Charlton Strip,26.52018,-81.41031
Raju Airport,32.07139969,-84.71440125
Spotts Field,43.13750076,-93.06829834
Running Creek Ranch Airport,45.914101,-114.835999
Reichhart Airport,41.028702,-84.9972
Classic Landings Airport,41.15670013,-88.01670074
Cooper Airport,39.64199829,-86.5042038
Hardy Airport,39.72589874,-89.26399994
Darbro Field,37.26620102,-95.959198
High Point Farm Airport,38.187091,-84.93011
Cartersville Airport,37.53575,-84.407303
Greg's Flying Service Airport,32.265301,-91.6978
Midwest Heliport,41.749228,-87.935783
Grass Roots Airport,31.252148,-92.47569
Pauls Valley General Hospital Heliport,34.71979,-97.214237
Bentley Heliport,42.69120026,-70.91230011
Breezecroft Airport,39.244232,-76.198661
Drisko Airport,44.6570015,-67.55919647
Beaumont Hospital Taylor Heliport,42.236433,-83.276421
Northern Pines Medical Center Heliport,47.5175001,-92.2302778
Portageville Community Heliport,36.429798,-89.680099
VA Medical Center Jackson Heliport,32.32973,-90.16273
Jones Landing Airport,45.815368,-111.152163
Brunswick Community Hospital Heliport,34.008099,-78.2911
Mc Kay Airport,41.72219849,-98.30899811
Stumpfield Heliport,42.9239006,-70.95140076
Paulus Hook Pier Heliport,40.7140007,-74.03150177
Baker Ranches Airport,39.0311,-114.088219
Oswego County At Pulaski Heliport,43.55199814,-76.09020233
Drill Field Pad Heliport,44.059531,-123.118951
Eaglecrest Field,40.184513,-81.920564
Dorlon Airpark,41.28839874,-81.96260071
Hawk Haven Airport,35.8534,-97.567497
Peacock Ranch Airport,45.44428,-117.34722
PECO Mob. Heliport,39.9548,-75.178201
State Police Area Iii Heliport,40.30009842,-76.85800171
Mills Brothers Airport,40.143075,-77.86221
Vernonia Airfield,45.85150146,-123.2419968
Brandes Air Field,29.8090992,-96.26509857
Hilde-Griff Field,30.7220993,-97.79139709
Thurmond Glenn Field,35.556998,-89.552903
Dew Drop Airport,33.12929916,-97.3585968
Circle A Ranch Airport,32.128974,-97.404582
Oljato Airport,37.033626,-110.315778
Blanca Airport,37.41109848,-105.552002
Providence Airport,37.2242012,-78.41860199
Port of Highgate Springs Heliport,45.01330185,-73.08670044
Sacred Heart Medical Center Helistop,47.64820099,-117.4140015
Ames Private Airport,42.65110016,-88.74590302
Flat Creek Field,48.702222,-118.0475
Moore County Hospital District Heliport,35.863631,-101.970944
Johnson Memorial Airport,33.07929993,-91.54319763
Henning Municipal Airport,46.30379868,-95.4394989
Twisted Sisters Airport,60.540256,-150.813827
June Lake Airpark,61.627619,-149.575331
Brown Stagefield Army Heliport,31.38839912,-85.97239685
Bondair Airport,35.54449844,-92.18489838
Mercy Gilbert Medical Center Heliport,33.287759,-111.751454
Lucky Landing Marina and Seaplane Base,44.907001,-68.805
SCE Solar I Heliport,34.868942,-116.832024
Abc7-Tv Heliport,35.15719986,-118.2890015
Jecan Airport,37.385754,-103.691482
William P Gwinn Airport,26.90839958,-80.3289032
Grass Roots Airpark,28.64170074,-81.88500214
Morton Plant Hospital Heliport,27.953527,-82.806222
Smith Heliport,33.7533989,-84.16210175
Patoka Reservoir Landing Area Seaplane Base,38.4333992,-86.69110107
Rich Field,41.84140015,-91.83429718
Larkin Airport,43.46269989,-116.3590012
Humm Airport,41.59949875,-88.86990356
Sinele Strip,40.54639816,-91.27429962
Riverside Hospital Airlift Heliport,37.69580078,-97.37249756
Falcon Heliport,37.525902,-83.344901
Panther Helicopters Inc Heliport,29.84606,-90.03216
Hammersmith Heliport,41.872301,-88.491982
Tembec Heliport,30.70789909,-91.32019806
The Barn Heliport,42.69060135,-71.60900116
Johns Hopkins Bayview Hospital Heliport,39.291401,-76.546303
Barker Heliport,44.415247,-70.844275
Henry Ford Jackson Hospital Heliport,42.251025,-84.391319
